17;17;17;17;17;17;17;17;18;17;18;17;17;18;18;17;18;17;17;17;17;17;17;17;17;17;18;17;17;17;17;18;17;18;20;14;12;14;16;18;17;17;19;14;10;15;10;14;15;14;13;16;13;9;11;12;11;10;8;12;14;10;15;17;15;16;11;15;16;15;10;10;15;16;11;7;8;10
17;17;17;17;17;17;17;18;18;17;18;17;17;17;17;18;17;17;17;17;17;17;17;17;17;17;17;18;18;17;18;17;17;18;18;16;14;17;20;17;17;17;18;15;10;14;15;16;16;16;13;11;11;8;15;12;5;10;15;14;11;14;12;9;10;9;11;16;17;14;16;20;13;16;20;16;14;9
17;18;17;17;17;17;17;17;17;17;18;17;17;17;17;17;17;17;17;17;17;17;17;17;17;18;17;17;17;18;17;17;18;17;18;17;17;18;17;17;17;17;18;16;13;14;16;16;20;16;10;10;11;9;9;7;10;15;17;15;13;10;8;3;2;5;15;20;11;10;14;17;18;17;17;16;17;13
18;18;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;18;17;17;17;17;18;17;18;17;17;16;16;18;17;17;18;17;13;13;15;17;13;11;9;8;9;8;4;8;9;9;14;12;11;10;10;13;10;9;16;17;14;14;15;13;16;20;17;16;17;19;16
17;18;17;17;17;17;17;17;17;18;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;18;18;18;17;18;17;18;17;17;17;17;17;17;17;18;16;14;14;15;16;20;14;8;10;8;12;10;3;10;10;13;15;8;9;14;18;20;16;15;15;14;15;20;17;17;18;20;18;17;17;18;15
17;17;18;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;18;17;18;17;18;17;18;17;20;20;17;17;17;17;17;16;17;18;11;14;17;17;17;15;13;9;14;12;10;9;13;17;15;14;20;20;15;16;17;17;15;16;18;18;18;20;20;20;20;17;14;15;15
18;18;17;18;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;18;17;17;17;17;17;17;18;17;18;17;18;20;15;10;14;18;20;20;20;18;16;11;8;9;15;20;20;20;15;14;15;14;16;15;17;18;20;20;17;16;17;16;17;13;15;17;17;17;17;16;17;20;17;15;16;15;13
18;18;18;18;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;18;20;20;14;9;11;17;20;20;15;10;10;10;9;10;10;10;11;14;18;20;17;17;17;20;18;18;18;17;16;17;17;16;20;17;10;14;16;16;17;17;17;20;18;17;16;16;18;13
18;17;18;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;18;17;18;17;18;17;17;17;17;20;16;12;14;20;20;11;11;6;4;4;10;16;17;16;16;14;11;13;14;16;20;17;17;18;18;18;20;18;18;20;20;18;18;20;20;18;14;17;17;17;20;20;18;17;20;18;17;16
18;18;18;17;17;17;17;18;17;17;17;17;17;17;17;17;17;17;17;17;17;17;18;17;17;18;18;17;19;17;12;12;17;20;10;4;7;10;13;16;20;20;17;13;15;19;20;20;16;15;18;17;16;16;20;19;19;20;20;20;18;18;19;19;20;20;17;18;19;18;19;18;19;18;18;20;18;16
