30;29;29;22;27;24;27;30;30;30;30;30;30;28;29;29;30;30;30;29;25;27;30;30;30;30;29;27;25;27;27;29;29;29;24;25;22;23;3;3;25;29;27;29;29;29;29;27;29;29;25;23;10;5;17;23;27;27;30;29;25;25;27;25;27;29;27;29;29;29;27;27;29;27;27;29;29;29;29;23;10;23;29;29;29;29;22;27;30;30;29;30;27;27;29;29;23;23;27;25;25;27;27;29;29;27;25;29;29;25;17;3;3;19;26;27;25;23;17;18;25;17;10;25;27;19;17;17;9;10;17;25;29;29;18;23;30;29;29;29;29
30;30;29;25;26;29;29;30;30;30;30;30;29;29;28;30;29;29;30;29;29;27;29;29;30;29;29;23;10;25;29;29;29;30;29;23;18;19;18;10;25;29;29;27;29;29;29;27;29;30;30;29;24;23;10;18;23;25;29;29;27;27;27;25;25;27;29;29;29;29;29;29;27;27;27;29;29;29;29;29;17;10;25;23;25;29;29;19;24;30;30;30;29;27;29;27;18;25;29;25;27;30;29;27;27;25;27;29;29;25;18;3;3;23;30;29;29;29;27;27;25;18;25;13;17;9;10;6;17;23;19;25;29;30;23;10;25;29;29;29;25
30;29;27;29;30;29;29;30;30;30;30;30;30;30;30;30;29;30;29;29;29;27;29;29;30;30;27;23;25;30;27;27;29;29;29;24;23;23;27;19;25;30;27;29;29;29;29;29;29;29;29;27;27;30;27;27;23;17;23;27;27;27;27;25;23;27;25;25;29;29;30;29;29;29;27;25;29;29;29;29;29;17;17;18;25;29;30;25;19;30;30;29;29;27;29;27;25;29;29;29;27;29;29;29;27;27;27;30;29;25;25;10;3;13;30;29;29;26;27;29;25;25;29;29;18;22;27;17;3;18;25;7;10;25;25;13;25;29;29;19;17
29;29;27;28;29;27;28;30;30;30;30;29;30;30;30;30;30;30;29;29;29;29;27;29;29;29;27;25;29;29;27;25;29;30;29;29;27;19;29;25;17;27;29;27;29;29;29;29;29;29;29;26;25;29;30;29;27;25;27;29;29;29;29;27;25;27;25;27;29;29;30;29;29;29;29;23;25;29;29;29;30;29;25;18;29;29;29;29;18;23;30;25;25;29;29;29;29;29;29;27;29;29;29;25;25;27;29;29;27;25;24;18;3;18;29;29;29;29;27;29;24;29;29;29;29;25;24;29;13;3;23;23;5;3;17;27;29;29;29;25;25
10;22;25;25;22;25;27;30;30;29;26;27;24;27;29;23;25;27;27;29;27;27;27;29;29;27;23;25;27;29;29;27;25;29;30;30;27;25;29;29;25;29;29;27;27;27;26;29;29;29;29;27;24;29;29;29;29;29;29;29;29;29;29;29;27;25;23;27;29;29;29;29;29;27;29;27;27;29;29;29;29;30;29;25;25;30;29;29;22;7;25;25;25;29;29;29;29;27;27;27;25;29;29;27;27;29;29;29;25;23;25;18;3;6;19;27;30;27;25;25;25;25;20;25;26;25;25;29;29;17;19;29;27;25;18;29;29;29;27;25;27
5;17;27;29;27;25;24;30;30;27;27;29;29;27;20;10;7;25;27;25;27;27;27;27;29;25;27;27;29;29;29;29;25;25;29;29;25;27;29;29;29;29;29;27;27;29;29;27;29;30;29;29;27;29;28;29;29;29;29;29;27;29;29;29;29;27;27;27;29;30;29;29;29;29;29;27;27;27;29;29;29;29;29;27;10;17;27;25;26;10;10;27;27;27;27;25;25;29;29;27;25;29;27;23;23;29;29;27;25;27;25;14;3;3;10;24;25;27;25;23;19;10;18;27;19;27;29;29;30;29;25;27;27;29;29;27;29;29;27;25;18
27;29;29;30;29;27;29;29;29;29;24;27;30;29;29;29;29;29;29;27;29;29;27;25;25;27;27;27;29;27;29;29;29;29;29;25;25;26;29;29;29;27;27;29;29;29;29;24;27;29;29;29;24;29;29;29;29;27;29;29;27;29;29;29;29;29;29;29;29;30;30;29;29;29;29;29;27;27;27;30;29;25;29;29;18;10;17;25;25;25;23;23;27;27;29;29;17;18;29;27;27;29;27;10;10;25;29;25;23;27;29;25;6;3;3;24;27;29;25;23;17;10;10;25;25;29;29;26;29;29;24;27;27;19;27;29;29;25;25;25;23
30;30;29;29;30;29;29;29;30;30;29;25;25;29;30;29;29;29;29;29;29;29;27;25;25;27;27;25;29;29;29;29;30;30;29;25;23;27;29;29;30;29;27;25;29;29;29;27;27;24;27;29;29;29;29;30;29;29;29;29;27;29;29;27;17;17;29;29;29;29;27;29;29;29;29;29;27;27;27;25;17;17;19;17;10;17;23;18;25;27;25;23;25;27;29;30;27;10;10;25;23;23;23;25;23;25;27;25;18;27;26;18;13;3;3;17;29;29;29;27;18;17;3;10;29;28;25;18;25;27;27;29;25;25;25;25;27;25;25;29;29
29;30;30;30;30;30;29;27;29;30;30;29;27;29;29;29;27;29;29;29;29;30;29;25;27;27;29;27;27;29;27;29;29;29;29;25;18;25;29;29;29;29;29;27;29;29;29;29;29;29;29;29;29;29;29;29;30;29;29;29;27;27;29;29;17;10;23;29;29;27;29;29;29;29;29;29;29;29;25;25;25;25;27;25;23;25;25;23;23;25;27;27;23;25;29;27;24;23;3;3;10;14;17;15;23;25;29;27;17;25;29;23;10;3;3;13;29;29;29;27;25;18;17;10;13;29;27;27;27;24;29;27;18;25;27;25;27;25;27;29;27
30;29;30;30;30;30;29;19;27;29;29;30;29;26;29;25;25;29;29;29;29;29;29;27;25;24;27;27;26;29;30;29;29;29;27;23;25;25;29;29;30;29;30;29;29;30;29;27;29;29;29;30;29;29;25;29;30;29;29;29;27;25;27;29;29;27;17;25;29;29;29;29;29;29;29;29;29;29;27;29;29;29;29;27;27;29;25;23;25;25;25;27;29;25;25;25;29;30;17;3;3;3;10;23;23;23;25;23;23;27;29;27;24;13;3;3;27;29;29;27;29;25;27;29;3;10;29;29;24;23;29;30;25;23;24;29;27;25;25;23;27
